Processed,Id,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Processed,85134,Wed May 31 09:57:15 BST 2023,GET,http://localhost:8080/content/images/logo-jhipster.png,200,OK,10,827,605,,false,
Processed,85135,Wed May 31 09:57:15 BST 2023,GET,http://localhost:8080/main.7e1102e0.js,200,OK,37,844,5153433,,false,
Processed,85136,Wed May 31 09:57:16 BST 2023,GET,http://localhost:8080/i18n/en.json?_=fd90a1c60a90c4bbdd5de321eb244891,200,OK,12,836,20600,,false,
Processed,85137,Wed May 31 09:57:16 BST 2023,GET,http://localhost:8080/c0285e5e9ebdce9056be.svg,200,OK,8,833,12225,,false,
Processed,85138,Wed May 31 09:57:16 BST 2023,GET,http://localhost:8080/management/info,200,OK,10,834,105,,false,
Processed,85139,Wed May 31 09:57:16 BST 2023,GET,http://localhost:8080/api/account,200,OK,82,834,397,,false,
Out of Context,85140,Wed May 31 09:57:17 BST 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=113.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,85141,Wed May 31 09:57:17 BST 2023,GET,http://localhost:8080/i18n/John%20Doe.json?_=fd90a1c60a90c4bbdd5de321eb244891,404,Not Found,13,841,163,,false,
Processed,85142,Wed May 31 09:57:18 BST 2023,GET,http://localhost:8080/,200,OK,16,853,6033,,false,
Processed,85143,Wed May 31 09:57:18 BST 2023,GET,http://localhost:8080/content/css/loading.css,200,OK,8,827,3629,,false,
Processed,85144,Wed May 31 09:57:18 BST 2023,GET,http://localhost:8080/main.7e1102e0.js,200,OK,73,844,5153433,,false,
Processed,85145,Wed May 31 09:57:18 BST 2023,GET,http://localhost:8080/content/images/logo-jhipster.png,200,OK,10,827,605,,false,
Processed,85146,Wed May 31 09:57:18 BST 2023,GET,http://localhost:8080/c0285e5e9ebdce9056be.svg,200,OK,8,833,12225,,false,
Processed,85147,Wed May 31 09:57:18 BST 2023,GET,http://localhost:8080/i18n/en.json?_=fd90a1c60a90c4bbdd5de321eb244891,200,OK,7,836,20600,,false,
Processed,85148,Wed May 31 09:57:19 BST 2023,GET,http://localhost:8080/favicon.ico,200,OK,29,831,1574,,false,
Processed,85149,Wed May 31 09:57:18 BST 2023,GET,http://localhost:8080/management/info,200,OK,8,834,105,,false,
Processed,85150,Wed May 31 09:57:18 BST 2023,GET,http://localhost:8080/api/account,200,OK,22,834,397,,false,
Processed,85151,Wed May 31 09:57:19 BST 2023,GET,http://localhost:8080/,200,OK,27,853,6033,,false,
Processed,85152,Wed May 31 09:57:19 BST 2023,GET,http://localhost:8080/i18n/John%20Doe.json?_=fd90a1c60a90c4bbdd5de321eb244891,404,Not Found,24,841,163,,false,
Out of Context,85153,Wed May 31 09:57:19 BST 2023,GET,https://location.services.mozilla.com/v1/country?key=7e40f68c-7938-4c5d-9f95-e61647c213eb,403,Forbidden,0,130,40,,false,
Processed,85154,Wed May 31 09:57:19 BST 2023,GET,http://localhost:8080/content/css/loading.css,200,OK,13,827,3629,,false,
Processed,85155,Wed May 31 09:57:19 BST 2023,GET,http://localhost:8080/main.7e1102e0.js,200,OK,61,844,5153433,,false,
Processed,85156,Wed May 31 09:57:20 BST 2023,GET,http://localhost:8080/content/images/logo-jhipster.png,200,OK,16,827,605,,false,
Out of Context,85157,Wed May 31 09:57:20 BST 2023,GET,https://www.jhipster.tech/,403,Forbidden,0,130,40,,false,
Out of Context,85158,Wed May 31 09:57:20 BST 2023,GET,https://www.jhipster.tech/favicon.ico,403,Forbidden,0,130,40,,false,
Processed,85159,Wed May 31 09:57:21 BST 2023,GET,http://localhost:8080/c0285e5e9ebdce9056be.svg,200,OK,7,833,12225,,false,
Processed,85160,Wed May 31 09:57:20 BST 2023,GET,http://localhost:8080/api/people?cacheBuster=1685523440619,200,OK,124,835,1894,,false,
Processed,85161,Wed May 31 09:57:20 BST 2023,GET,http://localhost:8080/i18n/en.json?_=fd90a1c60a90c4bbdd5de321eb244891,200,OK,10,836,20600,,false,
Processed,85162,Wed May 31 09:57:21 BST 2023,GET,http://localhost:8080/management/info,200,OK,12,834,105,,false,
Processed,85163,Wed May 31 09:57:21 BST 2023,GET,http://localhost:8080/api/account,200,OK,71,834,397,,false,
Out of Context,85164,Wed May 31 09:57:21 BST 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=113.0&pver=2.2,403,Forbidden,0,130,40,,false,
